Episode,Reward
1072,-1424.203002202235
1073,-796.5577594326863
1074,-943.7447758866376
1075,-1193.858202012042
1076,-695.1925393800387
1077,-830.9678512466027
1078,-692.061882480337
1079,-674.8903592404324
1080,-936.9329372419379
1081,-1479.9769831908504
1082,-896.5402211586232
1083,-1079.1300416972147
1084,-1289.9224280338367
1085,-909.7829995703872
1086,-1046.1064852723548
1087,-1194.1724359612517
1088,-586.2592034868578
1089,-813.8534633053873
1090,-842.9846632562858
1091,-1078.0602449485864
1092,-429.45145179371457
1093,-811.0954454180388
1094,-968.8829701110026
1095,-1362.2397263122252
1096,-678.1470375386988
1097,-559.100974814069
1098,-706.8545452093897
1099,-1161.2283081525343
1100,-839.2651527215786
1101,-1322.9810097084335
1102,-1067.5937636092478
1103,-825.7187924775457
1104,-839.9265459180386
1105,-706.9184520832724
1106,-746.8553494228718
1107,-1458.5614917718274
1108,-745.4608791161462
1109,-578.2362788284469
1110,-797.2399580860592
1111,-797.487688817973
1112,-979.7986074913819
1113,-855.5069510262248
1114,-702.9998739178567
1115,-794.4772564556777
1116,-944.9299911778315
1117,-1267.3063218053765
1118,-1047.1460501930155
1119,-1037.193862288217
1120,-807.354310852235
1121,-429.544554721752
1122,-886.8178679116509
1123,-561.986570657948
1124,-823.5443354743783
1125,-1083.9982720512205
1126,-828.6803747767227
1127,-299.4767738005403
1128,-809.8580946435281
1129,-938.6396388689319
1130,-762.291210628417
1131,-1234.7556864583617
1132,-819.9539145818338
1133,-698.4551181977049
1134,-828.4594995115154
1135,-936.1126490890133
1136,-794.7575991525442
1137,-1045.5502243954986
1138,-616.9183733843478
1139,-803.1358246180185
1140,-567.5747728636125
1141,-831.1700583621677
1142,-796.8782221231575
1143,-812.8588002561223
1144,-854.2725200645614
1145,-1095.0987071048355
1146,-952.3142735494606
1147,-1158.0683293164197
1148,-926.4626966537619
1149,-558.8695289474716
1150,-1066.588638699058
1151,-971.0702255167349
1152,-699.6593364487384
1153,-718.3249074676827
1154,-1090.2539180284205
1155,-910.227596476001
1156,-717.4011053143372
1157,-852.3962910388286
1158,-1438.7538815032576
1159,-711.3969462471224
1160,-713.8413714167215
1161,-1222.221581711312
1162,-1078.1397888432134
1163,-820.4235676144141
1164,-822.7200275283027
1165,-802.0747041731141
1166,-954.3036825799106
1167,-569.8229974930995
1168,-795.4337352906766
1169,-894.0112068096065
1170,-696.2932961929583
1171,-818.238140594488
1172,-696.3321914859952
1173,-1145.084602381457
1174,-1082.5986519501826
1175,-1084.2189879202433
1176,-805.7700446109485
1177,-431.87890292949754
1178,-842.0427084298777
1179,-689.0339378531396
1180,-894.3243282219308
1181,-1419.4539317908302
1182,-916.8134690756775
1183,-883.4668285427338
1184,-846.6871478976682
1185,-927.7856295129798
1186,-706.3634054313579
1187,-432.6326648333302
1188,-550.4181708322167
1189,-933.8247768747582
1190,-1196.356725548946
1191,-1499.9499268536945
1192,-664.147787012019
1193,-1327.3306330462397
1194,-670.2523594288257
1195,-833.8517532580246
1196,-609.826914597364
1197,-1097.3638765061696
1198,-704.4120261329018
1199,-1121.4863423269694
1200,-678.5243549310582
1201,-665.490125794764
1202,-942.965565181031
1203,-1065.7544851227651
1204,-845.6577256286525
1205,-699.5479645326346
1206,-820.7210238059539
1207,-892.5077931555535
1208,-1195.2800468862356
1209,-798.458170356348
1210,-838.4925614709296
1211,-1467.038585885789
